2025-04-12 14:52:15,824 [MainThread] DEBUG: Loaded backend qtagg version 5.15.11.
2025-04-12 14:52:15,845 [MainThread] DEBUG: findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2025-04-12 14:52:15,845 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-04-12 14:52:15,845 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-04-12 14:52:15,846 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-04-12 14:52:15,846 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymBol.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-04-12 14:52:15,846 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-04-12 14:52:15,846 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymReg.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-04-12 14:52:15,846 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-04-12 14:52:15,846 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\cmex10.ttf', name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-04-12 14:52:15,846 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymBol.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-04-12 14:52:15,846 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-04-12 14:52:15,846 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-04-12 14:52:15,846 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-04-12 14:52:15,846 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-04-12 14:52:15,846 [MainThread] DEBUG: findfont: score(FontEntry(fname='C:\\Users\\pc\\AppData\\Local\\Temp\\_MEI50402\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
